===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1000,,1000,2020-10-09 00:00:00,4.785,4.892,4.689,4.705,3409050.0,,SmaCross,1000,737707.0,Broker,1000,264416.1833756609,264416.1833756609,BuySell,1000,,,Trades - Net Profit/Loss,1000,,
1001,,1001,2020-10-12 00:00:00,4.705,4.71,4.548,4.556,3302556.0,,SmaCross,1001,737710.0,Broker,1001,264416.1833756609,264416.1833756609,BuySell,1001,,,Trades - Net Profit/Loss,1001,,
1002,,1002,2020-10-13 00:00:00,4.56,4.711,4.5,4.635,4180888.0,,SmaCross,1002,737711.0,Broker,1002,264416.1833756609,264416.1833756609,BuySell,1002,,,Trades - Net Profit/Loss,1002,,
1003,,1003,2020-10-14 00:00:00,4.635,4.636,4.502,4.623,3752103.0,,SmaCross,1003,737712.0,Broker,1003,264416.1833756609,264416.1833756609,BuySell,1003,,,Trades - Net Profit/Loss,1003,,
1004,,1004,2020-10-15 00:00:00,4.6,4.6,4.372,4.414,4282053.0,,SmaCross,1004,737713.0,Broker,1004,264416.1833756609,264416.1833756609,BuySell,1004,,,Trades - Net Profit/Loss,1004,,
1005,,1005,2020-10-16 00:00:00,4.499,4.499,4.33,4.367,4482052.0,,SmaCross,1005,737714.0,Broker,1005,264416.1833756609,264416.1833756609,BuySell,1005,,,Trades - Net Profit/Loss,1005,,
1006,,1006,2020-10-19 00:00:00,4.399,4.446,4.37,4.425,2692732.0,,SmaCross,1006,737717.0,Broker,1006,264416.1833756609,264416.1833756609,BuySell,1006,,,Trades - Net Profit/Loss,1006,,
1007,,1007,2020-10-20 00:00:00,4.48,4.48,4.29,4.29,2654556.0,,SmaCross,1007,737718.0,Broker,1007,264416.1833756609,264416.1833756609,BuySell,1007,,,Trades - Net Profit/Loss,1007,,
1008,,1008,2020-10-21 00:00:00,4.33,4.379,4.154,4.236,3340340.0,,SmaCross,1008,737719.0,Broker,1008,264416.1833756609,264416.1833756609,BuySell,1008,,,Trades - Net Profit/Loss,1008,,
1009,,1009,2020-10-22 00:00:00,4.24,4.24,4.094,4.151,3361717.0,,SmaCross,1009,737720.0,Broker,1009,264416.1833756609,264416.1833756609,BuySell,1009,,,Trades - Net Profit/Loss,1009,,
1010,,1010,2020-10-23 00:00:00,4.2,4.49,4.181,4.45,4372779.0,,SmaCross,1010,737721.0,Broker,1010,264416.1833756609,264416.1833756609,BuySell,1010,,,Trades - Net Profit/Loss,1010,,
1011,,1011,2020-10-26 00:00:00,4.366,4.47,4.24,4.35,3227161.0,,SmaCross,1011,737724.0,Broker,1011,264416.1833756609,264416.1833756609,BuySell,1011,,,Trades - Net Profit/Loss,1011,,
1012,,1012,2020-10-27 00:00:00,4.376,4.451,4.331,4.375,2567467.0,,SmaCross,1012,737725.0,Broker,1012,264416.1833756609,264416.1833756609,BuySell,1012,,,Trades - Net Profit/Loss,1012,,
1013,,1013,2020-10-28 00:00:00,4.35,4.35,4.034,4.08,4266083.0,,SmaCross,1013,737726.0,Broker,1013,264416.1833756609,264416.1833756609,BuySell,1013,,,Trades - Net Profit/Loss,1013,,
1014,,1014,2020-10-29 00:00:00,4.08,4.187,3.817,3.95,7071753.0,,SmaCross,1014,737727.0,Broker,1014,264416.1833756609,264416.1833756609,BuySell,1014,,,Trades - Net Profit/Loss,1014,,
1015,,1015,2020-10-30 00:00:00,3.871,4.02,3.818,3.947,4120940.0,,SmaCross,1015,737728.0,Broker,1015,264416.1833756609,264416.1833756609,BuySell,1015,,,Trades - Net Profit/Loss,1015,,
1016,,1016,2020-11-02 00:00:00,3.91,4.057,3.822,4.05,3148453.0,,SmaCross,1016,737731.0,Broker,1016,264416.1833756609,264416.1833756609,BuySell,1016,,,Trades - Net Profit/Loss,1016,,
1017,,1017,2020-11-03 00:00:00,4.09,4.199,4.051,4.126,3020561.0,,SmaCross,1017,737732.0,Broker,1017,264416.1833756609,264416.1833756609,BuySell,1017,,,Trades - Net Profit/Loss,1017,,
1018,,1018,2020-11-04 00:00:00,4.15,4.309,4.02,4.309,3067153.0,,SmaCross,1018,737733.0,Broker,1018,264416.1833756609,264416.1833756609,BuySell,1018,,,Trades - Net Profit/Loss,1018,,
1019,,1019,2020-11-05 00:00:00,4.248,4.33,4.17,4.315,2121275.0,,SmaCross,1019,737734.0,Broker,1019,264416.1833756609,264416.1833756609,BuySell,1019,,,Trades - Net Profit/Loss,1019,,
1020,,1020,2020-11-06 00:00:00,4.28,4.3,4.15,4.205,2406928.0,,SmaCross,1020,737735.0,Broker,1020,264416.1833756609,264416.1833756609,BuySell,1020,,,Trades - Net Profit/Loss,1020,,
1021,,1021,2020-11-09 00:00:00,4.3,4.7,4.22,4.683,10326297.0,,SmaCross,1021,737738.0,Broker,1021,264416.1833756609,264416.1833756609,BuySell,1021,,,Trades - Net Profit/Loss,1021,,
1022,,1022,2020-11-10 00:00:00,4.67,4.88,4.58,4.823,7013048.0,,SmaCross,1022,737739.0,Broker,1022,27102.235323578323,272191.1371341125,BuySell,1022,4.5113,,Trades - Net Profit/Loss,1022,,
1023,,1023,2020-11-11 00:00:00,5.0,5.27,4.95,5.134,11780799.0,,SmaCross,1023,737740.0,Broker,1023,27102.235323578323,287995.12810717407,BuySell,1023,,,Trades - Net Profit/Loss,1023,,
1024,,1024,2020-11-12 00:00:00,5.08,5.154,4.9,5.086,7808313.0,,SmaCross,1024,737741.0,Broker,1024,27102.235323578323,285555.92692805204,BuySell,1024,,,Trades - Net Profit/Loss,1024,,
1025,,1025,2020-11-13 00:00:00,4.9,5.062,4.871,5.062,4553824.0,,SmaCross,1025,737742.0,Broker,1025,27102.235323578323,284336.326338491,BuySell,1025,,,Trades - Net Profit/Loss,1025,,
1026,,1026,2020-11-16 00:00:00,5.102,5.394,5.08,5.324,11304562.0,,SmaCross,1026,737745.0,Broker,1026,27102.235323578323,297650.2994411988,BuySell,1026,,,Trades - Net Profit/Loss,1026,,
1027,,1027,2020-11-17 00:00:00,5.344,5.416,5.062,5.25,5287776.0,,SmaCross,1027,737746.0,Broker,1027,27102.235323578323,293889.8642900523,BuySell,1027,,,Trades - Net Profit/Loss,1027,,
1028,,1028,2020-11-18 00:00:00,5.298,5.7,5.234,5.7,10250689.0,,SmaCross,1028,737747.0,Broker,1028,27102.235323578323,316757.3753443216,BuySell,1028,,,Trades - Net Profit/Loss,1028,,
1029,,1029,2020-11-19 00:00:00,5.652,5.668,5.412,5.592,6282646.0,,SmaCross,1029,737748.0,Broker,1029,27102.235323578323,311269.1726912969,BuySell,1029,,,Trades - Net Profit/Loss,1029,,
1030,,1030,2020-11-20 00:00:00,5.524,5.734,5.524,5.65,4263961.0,,SmaCross,1030,737749.0,Broker,1030,27102.235323578323,314216.54078273615,BuySell,1030,,,Trades - Net Profit/Loss,1030,,
1031,,1031,2020-11-23 00:00:00,5.754,6.026,5.754,5.9,8383062.0,,SmaCross,1031,737752.0,Broker,1031,27102.235323578323,326920.7135906634,BuySell,1031,,,Trades - Net Profit/Loss,1031,,
1032,,1032,2020-11-24 00:00:00,6.052,6.248,6.052,6.248,10345529.0,,SmaCross,1032,737753.0,Broker,1032,27102.235323578323,344604.9221392983,BuySell,1032,,,Trades - Net Profit/Loss,1032,,
1033,,1033,2020-11-25 00:00:00,6.426,6.548,6.116,6.246,10086673.0,,SmaCross,1033,737754.0,Broker,1033,27102.235323578323,344503.2887568349,BuySell,1033,,,Trades - Net Profit/Loss,1033,,
1034,,1034,2020-11-26 00:00:00,6.26,6.272,5.938,6.198,4318088.0,,SmaCross,1034,737755.0,Broker,1034,27102.235323578323,342064.08757771284,BuySell,1034,,,Trades - Net Profit/Loss,1034,,
1035,,1035,2020-11-27 00:00:00,6.12,6.29,6.08,6.154,3242096.0,,SmaCross,1035,737756.0,Broker,1035,27102.235323578323,339828.1531635176,BuySell,1035,,,Trades - Net Profit/Loss,1035,,
1036,,1036,2020-11-30 00:00:00,6.098,6.098,5.968,6.006,4467101.0,,SmaCross,1036,737759.0,Broker,1036,27102.235323578323,332307.2828612246,BuySell,1036,,,Trades - Net Profit/Loss,1036,,
1037,,1037,2020-12-01 00:00:00,6.03,6.23,5.97,6.2,2902369.0,,SmaCross,1037,737760.0,Broker,1037,27102.235323578323,342165.7209601762,BuySell,1037,,,Trades - Net Profit/Loss,1037,,
1038,,1038,2020-12-02 00:00:00,6.19,6.23,5.974,6.064,2869751.0,,SmaCross,1038,737761.0,Broker,1038,27102.235323578323,335254.65095266374,BuySell,1038,,,Trades - Net Profit/Loss,1038,,
1039,,1039,2020-12-03 00:00:00,6.16,6.23,6.0,6.128,3229211.0,,SmaCross,1039,737762.0,Broker,1039,27102.235323578323,338506.9191914932,BuySell,1039,,,Trades - Net Profit/Loss,1039,,
1040,,1040,2020-12-04 00:00:00,6.262,6.54,6.262,6.5,7665966.0,,SmaCross,1040,737763.0,Broker,1040,27102.235323578323,357410.728329689,BuySell,1040,,,Trades - Net Profit/Loss,1040,,
1041,,1041,2020-12-07 00:00:00,6.5,6.5,6.308,6.44,3747676.0,,SmaCross,1041,737766.0,Broker,1041,27102.235323578323,354361.7268557865,BuySell,1041,,,Trades - Net Profit/Loss,1041,,
1042,,1042,2020-12-08 00:00:00,6.36,6.522,6.33,6.43,2734794.0,,SmaCross,1042,737767.0,Broker,1042,27102.235323578323,353853.55994346936,BuySell,1042,,,Trades - Net Profit/Loss,1042,,
1043,,1043,2020-12-09 00:00:00,6.49,6.5,6.38,6.5,4895152.0,,SmaCross,1043,737768.0,Broker,1043,27102.235323578323,357410.728329689,BuySell,1043,,,Trades - Net Profit/Loss,1043,,
1044,,1044,2020-12-10 00:00:00,6.458,6.698,6.4,6.658,6493271.0,,SmaCross,1044,737769.0,Broker,1044,27102.235323578323,365439.76554429915,BuySell,1044,,,Trades - Net Profit/Loss,1044,,
1045,,1045,2020-12-11 00:00:00,6.78,6.89,6.63,6.778,6233448.0,,SmaCross,1045,737770.0,Broker,1045,27102.235323578323,371537.76849210414,BuySell,1045,,,Trades - Net Profit/Loss,1045,,
1046,,1046,2020-12-14 00:00:00,6.88,6.984,6.766,6.82,4363990.0,,SmaCross,1046,737773.0,Broker,1046,27102.235323578323,373672.069523836,BuySell,1046,,,Trades - Net Profit/Loss,1046,,
1047,,1047,2020-12-15 00:00:00,6.752,6.776,6.636,6.75,4810359.0,,SmaCross,1047,737774.0,Broker,1047,27102.235323578323,370114.90113761637,BuySell,1047,,,Trades - Net Profit/Loss,1047,,
1048,,1048,2020-12-16 00:00:00,6.796,6.98,6.786,6.842,5555911.0,,SmaCross,1048,737775.0,Broker,1048,27102.235323578323,374790.0367309336,BuySell,1048,,,Trades - Net Profit/Loss,1048,,
1049,,1049,2020-12-17 00:00:00,7.0,7.168,7.0,7.08,4352705.0,,SmaCross,1049,737776.0,Broker,1049,27102.235323578323,386884.4092440804,BuySell,1049,,,Trades - Net Profit/Loss,1049,,
1050,,1050,2020-12-18 00:00:00,7.084,7.1,6.96,7.056,6163412.0,,SmaCross,1050,737777.0,Broker,1050,27102.235323578323,385664.8086545194,BuySell,1050,,,Trades - Net Profit/Loss,1050,,
1051,,1051,2020-12-21 00:00:00,6.72,6.822,6.3,6.644,10289356.0,,SmaCross,1051,737780.0,Broker,1051,27102.235323578323,364728.33186705515,BuySell,1051,,,Trades - Net Profit/Loss,1051,,
